budget_section|classification_level|code|description|amount_2024|amount_2025|amount_2026|amount_2027|amount_2028|source_file|page
Revenue|Detailed Line Item|01|Local taxes/rates||||||KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|001|Residential|||262,670.00|262,670.00|262,670.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|002|Commercial|||161,864.00|161,864.00|161,864.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|003|Industrial|||84,838.00|84,838.00|84,838.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|004|Hospitality|||93,669.00|93,669.00|93,669.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item||SubItem Total||||603,041.00|603,041.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|001|Personal levy|||54,795.00|54,795.00|54,795.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item||SubItem Total||||54,795.00|54,795.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|02|Fees and Charges||||||KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|003|Building inspection-fees|||23,400.00|23,400.00|23,400.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|004|Plan scrutiny fee|||74,760.00|74,760.00|74,760.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|005|Change of premise use|||7,000.00|7,000.00|7,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|007|Rentals/lease of Council’s properties|||607,200.00|607,200.00|607,200.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|008|Non-Land Application forms fees|||75,000.00|75,000.00|75,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|009|Rentals from houses|||66,000.00|66,000.00|66,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|011|Search fees|||5,000.00|5,000.00|5,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|012|Notice board advert fees|||300.00|300.00|300.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|013|Market fees|||54,000.00|54,000.00|54,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|014|Parking fees|||8,000.00|8,000.00|8,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|016|Loading fees (buses, trucks, trains, taxies etc.)|||637,180.00|637,180.00|637,180.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|020|Hire of halls|||30,000.00|30,000.00|30,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|031|Motorbike and Bicycle fees|||50,700.00|50,700.00|50,700.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|032|Hire of plant and equipment|||283,000.00|283,000.00|283,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|033|Refuse disposal|||203,700.00|203,700.00|203,700.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|045|Notice of marriage fees|||12,600.00|12,600.00|12,600.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|047|Registration of clubs and societies|||212,500.00|212,500.00|212,500.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|051|Farm produce Fee|||65,615.00|65,615.00|65,615.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|053|Certification of documents|||3,000.00|3,000.00|3,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|055|Illegal Paring of vehicles|||2,250.00|2,250.00|2,250.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|063|Billboards and banners|||36,746.00|36,746.00|36,746.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|065|Council Minutes Extracts|||25,000.00|25,000.00|25,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|066|Penalties|||20,000.00|20,000.00|20,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|067|Ablution Fee|||144,000.00|144,000.00|144,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|072|Booth fees|||22,331.00|22,331.00|22,331.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|074|Sale of Bid Documents|||18,000.00|18,000.00|18,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|078|Erection of Tombstone|||3,400.00|3,400.00|3,400.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|099|Other fees and charges|||447,848.00|447,848.00|447,848.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item||SubItem Total||||3,138,530.00|3,138,530.00|KTC-OBB-BUDGET-2026-to-2027.pdf|3
Revenue|Detailed Line Item|03|Licenses||||||KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|001|Occupancy licence|||53,000.00|53,000.00|53,000.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|002|Liquor licence|||4,032.00|4,032.00|4,032.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|003|Firearm and ammunition licence|||2,250.00|2,250.00|2,250.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|004|Petroleum Storage licence|||72,900.00|72,900.00|72,900.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|005|Dog licence|||3,750.00|3,750.00|3,750.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item|099|Other Licences|||174,490.00|174,490.00|174,490.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
Revenue|Detailed Line Item||SubItem Total||||310,422.00|310,422.00|KTC-OBB-BUDGET-2026-to-2027.pdf|4
