ward|project_name|year|status|amount|category|project_type|constituency|source_file|data_conflict
Kala|Helath Post At Muchulila|2022|Approved|770,000.00|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Fisaka|construction of a 1*3 Class Room Block and ablution block at Parrafine|2022|Approved|1,328,000.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Senga|2 Staff Houses For Health Workers at Luatula Health post|2022|Approved|810,000.00|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Ng'ona|Bus Station Paving|2022|Approved|575,846.21|Bus Stations And Markets||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Ntumbachushi|Construction Of 1*3 Crb, And Ablution Block At Kalamba Primary School To Secondary School|2022|Approved|1,109,000.21|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Construction Of An Ablution Block at Munkanta Primary School|2022|Approved|680,746.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Iyanga|Grading And Gravelling Of Road From Muyembe To Kapulo Road|2022|Approved||Roads||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
All Wards|Procurement Of 300 Desks|2022|Approved|594,100.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Senga|Construction Of 1*3 Classroom Block at Mufwaya Primary School|2022|Approved|503,000.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Lushiba|Construction Of Borehole, Staff House at Mwangwe Haelth Post|2022|Approved|675,000.21|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Luena|Construction Of A Local Court at Katungulu|2022|Approved|550,846.00|Justice||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|Drilling and installation of 2no solar powered boreholes at shinonde community in kawambwa district of luapula province.|2022|Approved|540,000.00|Water And Sanitation||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
All Wards|Procurement For Desk To Be Distributed To Schools|2022|Approved|390,000.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Iyanga|Electrical Installation|2022|Deferred / Not Approved|50,000.00|Energy||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Ng'ona|Construction Of 3No. Solar Boreholes Communities chisulo, zakeyo and chola communities|2022|Approved|810,000.00|Water/Sanitation||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Construction And Instalation 3 No.Solar Boreholes stardy, thomas n mutofwa|2022|Approved|840,000.00|Water/Sanitation||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Senga|Water Reticulation At Luatula, Mufwaya And Chisheta Community|2022|Approved|870,000.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Construction Of Martenity Wing at Munkanta Clinic|2022|Approved|843,846.21|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
All Wards|Procument Of Desk|2022|Approved|525,000.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Iyanga|Construction Of Staff house at Kamfukeshi Clinic|2022|Approved|405,000.00|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|ROAD MAINTANANCE :KALA ROAD IN TWO WARDS NAMELY KALA AND SENGA (RDA)SPOT MAINTAINANCE|2022|Deferred / Not Approved|1,722,332.00|Roads||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|KALA SECONDARYSCH INTO BOARDING SCHOOL|2022|Deferred / Not Approved||Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|INSTALLATION OF SOLAR POWER TANKS IN KALA|2022|Deferred / Not Approved||Water||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|CONSTRUCTION OF UNDER-FIVE SHELTER AT KALA COMMUNITY.|2022|Deferred / Not Approved||Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kala|CONSTRUCTION OF HEALTH POST AT CHUNGU COMMUNITY|2022|Approved||Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Renovation of st Marys special school|2022|Approved|174,736.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Iyanga|Renovation of Musambeshi Health Post|2022|Approved|125,612.05|Health||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Rehabilitation of 1X3 CRB at Kawambwa Secondary School|2022|Approved|260,085.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Kawambwa|Renovation of st Marys special school|2022|Approved|145,983.00|Education||Kawambwa|KAWAMBWA-COMMUNITY-PROJECTS-year2022.pdf|False
Pambashe|Construction Of School Toilets at Kaka Primary School|2022|Approved|668,500.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Chikanda|1*3 Class Room Block (Kota Primary)|2022|Approved|743,400.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Chibote|1*3 Class Room Block And A Three bedroomed House At Alex Primary School|2022|Approved|1,168,500.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Kabanse|Water Reticulation At Chimpempe School|2022|Approved|400,000.00|Water And Sanitaion||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Ilombe|Staff House At Chinombwe Primary School|2022|Approved|503,446.21|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Chikanda|Construction Of 1 X3 Class Block At Ntumbo Primary School|2022|Approved|530,000.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Kabanse|Construction Of Three Bedroomed Staff Houses At Kabanda Police Post|2022|Approved|408,000.00|Security||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Filenge|Construction Of 1*3 Classroom Block at Kuyumba Primary School|2022|Approved|550,000.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Chimpili|Construction Of 1 X3 Class Block At Mukangwa|2022|Approved|570,000.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
Mulunda|Construction Of 1*3 Clasroom Block Sichungu|2022|Approved|560,000.00|Education||Pambashe|PAMBASHE-COMMUNITY-PROJECTS-2022.pdf|False
