meeting_sequence|meeting_date|minute_no|subject|decision_type|resolution_text|proposer_seconder|source_file
1st Ordinary 2024|2024-02-27|DCM/39/02/2024|DECLARATION OF INTEREST|Declaration of Interest|His Worship Kalumba Chifumbe declared interest on a matter under Minute Number PWDRE/91/02/2024 for plot normalisation under plot number 2648.||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/40/02/2024|CHAIRMAN’S COMMUNICATION|Council Information / Deliberation|His Worship the Council Chairperson welcomed all members to the first ordinary council meeting held on 27th February 2024 as he stated that it was a very important meeting. He went on and stressed that land management had become an issue in the distr||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/41/02/2024|ELECTION OF DEPUTY COUNCIL CHAIRPERSON.|Statutory Election|Elected Mulenga Daniel C. as Deputy Council Chairperson.||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/42/02/2024|CONFIRMATION OF PREVIOUS MINUTES OF THE FOURTH ORDINARY|Confirmation of Minutes|The Minutes of the FOURTH ORDINARY COUNCIL MEETING HELD ON FRIDAY 6TH OCTOBER, 2023 (Minute Nos. DCM/29/10/2023 -|Cllr. Mulenga Daniel / Cllr. Chansa Fanwell|MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/43/02/2024|MATTERS ARISING|Matters Arising / Directives|ITEM 1: VIDE MINUTE NUMBER HESS/206/11/2023: Under minute No. HESS/206/2023: A member wanted to know whether there were any sensitizations made during the distribution of the FISP Packs to beneficiaries. In response, it was reported that the sensitiz||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/44/02/2024|ADOPTION OF THE MINUTES OF THE AUDIT COMMITTEE MEETING HELD|Committee Adoption|1. The Minutes of the Audit committee meeting held on Thursday, 18th January, 2024 (Minutes NO. Audit/37/01/2024 - Audit /41/01/2024) be RECEIVED and ADOPTED as a true record of proceedings of the council.||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/45/02/2024|ADOPTION OF THE MINUTES OF THE HEALTH ENVIRONMENT & SOCIAL|Committee Adoption|1. Minutes of the Health, Environment and Social Services Committee Meeting held on Thursday 8TH November, 2023 (Minutes No. (HESS/182/11/2023 -||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/46/02/2024|ADPTION OF MINUTES OF THE PLANS, WORKS, REAL ESTATES AND|Committee Adoption|1.) The Minutes of the Plans, Works, Development and Real Estates committee meeting held on Friday 26th December, 2024 (Minute Nos.|the committee chairperson Councilor Mubanga Kennedy / Councillor Mwape Eliud it was;|MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|KTC/47/02/2024|ADOPTION OF MINUTES OF THE FINANCE, HUMAN RESOURCE AND|Committee Adoption|1. The Minutes of the Finance, Human Resource & General Purposes Committee Meeting held on Thursday 8th February, 2024 (Minute Nos.||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
1st Ordinary 2024|2024-02-27|DCM/47/02/2024|CONSTITUTION OF MEMBERS OF THE COUNCIL’S STANDING|Formal Resolution|The proposed list of Councillors and their respective roles in council meetings be adopted. . B). LIST OF CHIEFS FOR KAWAMBWA S/N NAME OF CHIEF CHIEFDOM AREA 01 Chief Chama Chiefdom Chama Chama 02 Senior Chief Mushota Mushota Chiefdom Mushota 03 Chief Munkanta Munkanta Chiefdom Munkanta CHAPLAIN - FR MAMBWE MPASA On a proposal by Councillor Francis Chungu seconded by Councillor Chuma Kelvin, it was; Resolved that: Constitution of Council Standing Committees report hereon be Approved.||MINUTES-FIRST-ORDINARY-27TH-FEB-2024.pdf
