impact_no|impact_category|potential_impact|mitigation_measure|responsibility|timeline|source_file|page
1|Loss of flora / fauna|During site Preparation|Restrict the activities within the designated area based on the site plan designs|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|8
2|Dust pollution|Dust from site preparation and construction works phase and vehicular movements|Employ dust suppression mechanisms such as compaction and sprinkling PPE|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|8
3|Contamination of the environment through leakages|Degradation of soil and contamination of surface and underground water|Constant checks of the vehicles and equipment being used Timely servicing of the vehicles|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|8
4|Safety and Risk of workers|Loss of life|Ensure that all workers are briefed on potential hazards and necessary safety precautions Use of clearly labelled signage during and after the project construction phase Proper control and directing of on and offloading traffic during operational phase|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|8
5|Generation of sewage|Contaminating surface water and underground water|All sewage will be directed / connected to the soak away system Proper sanitary system will be put in place|Contractor/Local Authority|Long term|KTC-ESMP-MODERN-BUS-STATION.pdf|9
6|Noise Pollution as a result of vehicular movements and from construction / operational activities|Disturbing surrounding community and affecting the workers on site|The site will be barricaded Regular servicing of vehicles Ensure the use of proper PPE Work will be done during working hours.|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|9
7|Waste generation|Loss of aesthetic beauty Possible injury to the animals from eating plastics Land degradation as plastic is non- biodegradable|Proper waste management plan will be put in place during the preparation, construction and operational stages|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|9
8|Disruption to access|Inaccessibility of some roads|Restrict operations to the project site.|Contractor/Local Authority|Short Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
9|Social Conflicts|Demonstrations against project Political interference Disruption of work|Stakeholder Engagement|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
10|Occupational Health and Safety|Falls, injuries, cuts, abrasions and diseases/sicknesses|Adherence to OHS Regular monitoring Community Sensitization|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
11|Social Issues|GBV|Community Sensitization|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
12|Contraction of Diseases|HIV/AIDS|Community Sensitization|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
13|Social issues|Teenage Pregnancies|Community Sensitization|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
14|Contraction of Diseases|STIs|Community Sensitization|Contractor/Local Authority|Long Term|KTC-ESMP-MODERN-BUS-STATION.pdf|10
