statement_name|section|item_name|original_budget|adjustments|final_budget|actual_amount|pct_performance|variance|pct_variance|year|source_file|page
Statement of Comparison of Budget and Actual Amounts|Receipts|Local taxes|652,945.00|0.00|652,945.00|468,731.00|72%|184,214.00|28%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Fees and Charges|5,095,804.00|0.00|5,095,804.00|2,471,780.00|49%|2,624,024.00|51%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Licences|112,040.00|0.00|112,040.00|243,628.00|217%|-131,588.00|-117%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Levies|26,700.00|0.00|26,700.00|25,441.00|95%|1,259.00|5%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Permits|351,550.00|0.00|351,550.00|332,168.00|94%|19,382.00|6%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Local Government Equalisation Fund|9,321,973.00|1,490,500.00|10,812,473.00|10,152,215.00|94%|660,258.00|6%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Constituency Development Fund|51,400,000.00|0.00|51,400,000.00|47,479,821.00|92%|3,920,179.00|8%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Other Grants - - -||0.00||0.00|0%|0.00|0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Borrowings - - - -||0.00|||0%||0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Commercial Venture - - (||0.00|14,120.00|0.00||0.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|Other Receipts|162,500.00|0.00|162,500.00|803,063.00|494%|-640,563.00|-394%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Receipts|TOTAL RECEIPTS|67,123,512.00|1,490,500.00|68,614,012.00|61,962,727.00|90%|6,651,285.00|10%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Personnel Emoluments|7,826,276.00|1,490,500.00|9,316,776.00|8,985,725.00|96%|331,051.00|4%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Use of goods and services|5,044,221.00|0.00|5,044,221.00|5,870,910.00|116%|-826,689.00|-16%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Financial Charges - - -||0.00||0.00|0%|0.00|0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Social benefits - - -||0.00||765,055.00|0%|-765,055.00|0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Non-financial assets acquisition||53,487,246.00||53,487,246.00|7%|7.00|93%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Financial Assets - - - -||0.00|||0%||0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Loan Repayments - - - -||0.00|||0%||0%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Other payments|765,768.00|0.00|765,768.00|39,600.00|5%|726,168.00|95%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|TOTAL PAYMENTS|67,123,512.00|1,490,500.00|68,614,012.00|19,412,579.00|28%|726,168.00|1%|2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Comparison of Budget and Actual Amounts|Payments|Increase/(Decrease in Cash - - -||0.00||42,550,148.00||0.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|12
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Local taxes||||468,731.00||2021 Actual: 361,756.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Fees and Charges||||2,471,780.00||2021 Actual: 2,273,865.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Licences||||243,628.00||2021 Actual: 183,126.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Levies||||25,441.00||2021 Actual: 6,072.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Permits||||332,168.00||2021 Actual: 159,128.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Local Government Equalisation Fund (LGEF)||||10,152,215.00||2021 Actual: 8,885,740.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Constituency Development Fund (CDF)||||47,479,821.00||2021 Actual: 3,200,000.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Commercial Venture||||-14,120.00||2021 Actual: 8,527.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|Other Receipts||||803,063.00||2021 Actual: 326,099.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Receipts|TOTAL RECEIPTS||||61,962,727.00||2021 Actual: 15,404,312.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Payments|Personnel Emoluments||||8,985,725.00||2021 Actual: 8,305,161.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
Statement of Cash Receipts and Payments (IPSAS Cash Basis)|Payments|Use of goods and services||||5,870,910.00||2021 Actual: 6,444,034.00||2022|Kawambwa-Town-Council-Audited-Financial-Statements-2022.pdf|11
