programme|project_name|location_priority|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|responsible_agency|source_file|page
Capital Infrastructure|Construction of agricultural and livestock research centres|Pambashe and Kawambwa|0.00|500,000.00|500,000.00|0.00||LA,MOA, MOL|Kawambwa-IDP.pdf|154
Livestock development|Construction of Deep Tanks|District-wide|180,000.00|180,000.00|180,000.00|180,000.00|180,000.00|MOFL|Kawambwa-IDP.pdf|154
Capital Infrastructure|Construction of Harbotour|Ngona|500,000.00|0.00|0.00|0.00|0.00|LA, MOFL|Kawambwa-IDP.pdf|154
Capital Infrastructure|Construction of Slaughter Slab|Ngona|150,000.00|0.00|0.00|0.00|0.00|LA, MOFL|Kawambwa-IDP.pdf|154
Early warning and surveillance systems|Construction of of Early Warning Office|Pambashe|0.00|0.00|450,000.00|0.00|0.00|LA,MET,MOA|Kawambwa-IDP.pdf|154
Capital Infrastructure|Procurement of Eerly Warning Kits|Kawambwa and Pambashe||500,000.00|500,000.00|0.00|0.00|LA,MET,MOA|Kawambwa-IDP.pdf|154
Health Infrastructure Development|Construction of mini hospital|Chimfuntu, Chimpili, Lufubu, Lulunda|3,000,000.00|3,500,000.00|3,500,000.00|3,500,000.00|3,500,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Construction of health post|All Wards|1,600,000.00|1,600,000.00|1,600,000.00|1,600,000.00|1,600,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Construction of clinic|All Wards|4,000,000.00|4,000,000.00|4,000,000.00|4,000,000.00|4,000,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Construction of maternity annexes|All Wards|4,250,000.00|4,250,000.00|4,250,000.00|4,250,000.00|4,250,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Installation of incinerators|All Wards|1,000,000.00|1,000,000.00|1,000,000.00|1,000,000.00|1,000,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Construction of staff houses|All Wards|5,000,000.00|5,000,000.00|5,000,000.00|5,000,000.00|5,000,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Procurement|Procurement of Motorbikes for facilities|Kawambwa District|950,000.00|950,000.00|950,000.00|950,000.00|950,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Capital Infrastructure|Procurement of ambulances|Kawambwa District|3,800,000.00|3,800,000.00|3,800,000.00|3,800,000.00|3,800,000.00|MOH, LA|Kawambwa-IDP.pdf|155
Infrastructure development|Construction of class room blocks|All Wards|4,900,000.00|4,900,000.00|4,900,000.00|4,900,000.00|4,900,000.00|MOE,LA|Kawambwa-IDP.pdf|156
Capital Infrastructure|Construction of Laboratories|All Wards|1,000,000.00|1,000,000.00|1,000,000.00|1,000,000.00|1,000,000.00|MOE,LA|Kawambwa-IDP.pdf|156
Capital Infrastructure|Construction of teachers houses|All Wards|4,500,000.00|4,500,000.00|4,500,000.00|4,500,000.00|4,500,000.00|MOE,LA|Kawambwa-IDP.pdf|156
Capital Infrastructure|Construction of a Trade School|Ngona, Kawambwa or Ntumbachushi Ward|0.00|5,000,000.00|0.00||0.00|MOE,LA|Kawambwa-IDP.pdf|156
Water and Sanitation infrastructure Development|Borehole Drilling.|Kawambwa and Pambashe Constituencies|9,000,000.00|9,000,000.00|9,000,000.00|9,000,000.00|9,000,000.00|LA/LWASCO/WD|Kawambwa-IDP.pdf|156
Capital Infrastructure|Rehabilitation of Boreholes|Kawambwa and Pambashe Constituencies|5,000,000.00|5,000,000.00|5,000,000.00|5,000,000.00|5,000,000.00|LA/LWASCO/WD|Kawambwa-IDP.pdf|156
Capital Infrastructure|Construction of Dams|Kawambwa and Pambashe Constituencies|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|LA/LWASCO/WD|Kawambwa-IDP.pdf|156
Upgrading of Ntulo compound|Opening of roads|Ntulo compound|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of drainages|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of refuse bay|District-wide|250,000.00|0.00|0.00|250,000.00|0.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Laying down of pipe water|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Kawambwa Town Council|Kawambwa-IDP.pdf|157
Upgrading of Matero compound|Opening of roads|Matero Compound|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of drainages|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of refuse bay|District-wide|250,000.00|0.00|0.00|250,000.00|0.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Laying down of pipe water|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Water and sewerage company/local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Opening of roads|District-wide|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of drainages|Matero Compound|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Local authority|Kawambwa-IDP.pdf|157
Capital Infrastructure|Construction of refuse bay|District-wide|250,000.00|0.00|0.00|250,000.00|0.00|Local authority|Kawambwa-IDP.pdf|157
Upgrading of PWD compound|Opening of roads|PWD compound|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Construction of drainages|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Construction of refuse bay|District-wide|250,000.00|0.00|0.00|250,000.00|0.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Laying down of pipe water|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Water and sewerage company/local authority|Kawambwa-IDP.pdf|158
Upgrading of Airstrip Area|Opening of roads|Airstrip compound|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|2,000,000.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Construction of drainages|District-wide|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|1,500,000.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Construction of refuse bay|District-wide|250,000.00|0.00|0.00|250,000.00|0.00|Local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Laying down of pipe water|District-wide|2,500,000.00|2,500,000.00|2,500,000.00|2,500,000.00|2,500,000.00|Water and sewerage company/local authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Creation of affordable farm plots|District-wide|300,000.00|4,000,000.00|500,000.00|600,000.00|700,000.00|Local Authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Creation of affordable residential plots|District-wide|200,000.00|200,000.00|200,000.00|200,000.00|200,000.00|Local Authority|Kawambwa-IDP.pdf|158
Capital Infrastructure|Creation of affordable commercial and industrial plots|District-wide|100,000.00|100,000.00|100,000.00|100,000.00|100,000.00|Local Authority|Kawambwa-IDP.pdf|158
